XZRQhkii0h0,"You already know that we can view multiplication as repeated addition. So, if we had 2 times 3 (2 × 3), we could literally view this as 3 2's being added together. So it could be 2 + 2 + 2. Notice this is [COUNTING: 1, 2] 3 2's. And when you add those 2's together, you get 6. What we're going to introduce you to in this video is the idea of repeated multiplication – a new operation that really can be viewed as repeated multiplication. And that's the operation of taking an 'exponent.' And it sounds very fancy. But we'll see with a few examples that it's not too bad. So now, let's take the idea of 2 to the 3rd power (2^3) – which is how we would say this. (So let me write this down in the appropriate colors.) So 2 to the 3rd power. (2^3.) So you might be tempted to say, ""Hey, maybe this is 2 × 3, which would be 6."" "
,"But remember, I just said this is repeated multiplication. So if I have 2 to the 3rd power, (2^3), this literally means multiplying 3 2's together. So this would be "
,"equal to, not 2 + 2 + 2, but 2 × ... (And I’ll use a little dot to signify multiplication.) ... 2 × 2 × 2. Well, what's 2 × 2 × 2? Well that is equal to 8. (2 × 2 × "
,"2 = 8.) So 2 to the 3rd power is equal to 8. (2^3 = 8.) Let's try a few more examples here. What is 3 to the 2nd power (3^2) going to be equal to? And I'll let you think about that for a second. I encourage you to pause the video. So let's think it through. This literally means multiplying 2 3's. So let's multiply 3 – (Let me do that in yellow.) Let's multiply 3 × 3. So this is going to be equal to 9. Let’s do a few more examples. What is, say, 5 to the – let's say – 5 to the 4th power (5^4)? And what you'll see here is this number is going to get large very, very, very fast. So 5 to the 4th power (5^4) is going to be equal to multiplying 4 5's together. So 5^4 = 5 × 5 × 5 × 5. Notice, we have [COUNTING: 1, 2, 3] 4 5's. And we are multiplying them. We are not adding them. This is not 5 × 4. This is not 20. This is 5 × 5 × 5 × 5. So what is this going to be? Well 5 × 5 is 25. (5 × 5 = 25.) 25 × 5 is 125. (25 × 5 = 125.) 125 × 5 is 625. (125 × 5 = 625.)"
,
25gGVMaynPk,hello children today i am here to teach you chapter 24 in your textbook that's indices so in this lesson we are recognizing what are index notations and power of another number and expand a power and write its value so this is an important lesson so you need to do this in grade 7 8 9 10 till you do all levels then after that this is important in a level as well look at this number 8 write 8 as a product of prime factors so how you find out the prime factors you can divide take 8 you can divide this by 2. you get 4 divide this by 2 again you get 2 divide this by 2 again you get 1 so you can write 8 as 2 into 2 into 2 2 three times so we can write instead of writing two times two times two we can write this as two to the power of three so when you take this number 2 to the power of 3 we call this 2 as the base and the power this we say that's the index sometimes we call exponents or power so you can read this number as 2 to the power of 3 2 to the power of 3 25 what are the prime factors of 25 take 25 you can divide by 5 that's 5 5 times 525 divide by 5 again you get 1 so 25 you can write 5 times 5 5 2 times 5 to the power 2. so this is 5 
,to the power of 2 and you can say 5 squared so when the power is 2 you can say squared now write this one 7 to the power of 2 7 to the power of 2 or 7 squared same thing 11 to the power of 2 or 11 squared take eight eight we can write two and two and two we did that before two times two times two or you can write 2 to the power 
,3. so 2 to the power 3 is there another name first you can say 2 to the power of 3 or 3 cube so 3 means q so power 3 you can say q 2 cube so cube we can use for the 
,power 3. now write down 5 to the power of 3 5 to the power of 3 cube of 5 simple cube of 5 7 to the power of 3 cube of 7 10 to the power of 3 and cube of 10. so power 2 is squared and power 3 is cube right how you read these numbers this one already done 9 to the power 3 9 to the power of 3 cube of 9. so likewise you can write 13 to the power of 13 to the power of 2 how can you write there 13 square square of 13 you can write square of 30 13 squared here 6 to the power of 3 i'll write all this 4 to the power of 4 to the power of 2 write the number 8 to the power of 3 twenty to the power of two fifteen to the power of three then you can write power 3 as cube of 6. this one 4 squared square of 4 this one 8 to the power three you can write eight cubed cube of eight twenty squared square of twenty and 15 to the power 
,of 3 that means cube of 15. fill in the blanks so you need to identify what's the base and index so 11 to the power of 7 base is 11 power is 7 that's index 9 to the 
,power of 4 base is 9 and index is 4. now try to do this 3 to the power 11 3 is the base and 11 is the index 5 to the power of 8 5 is the base and 8 is the index 10 to the power 5 10 is the base and 5 is the index 6 to the power 3 base is 6 power or index is 3. write these in index notation so that means you have to write in base and index form three how many threes are there one two three four five so you can write three to the power of five how many sevens are there one two three four seven to the power of how many eights are there one two three four five eight to the power of five how many elevens are there three eleven to the power of three how many tens one two three four five 10 to the power of 5. this one how many fives one two three four five six how many minus threes so make sure that you put brackets one 
,two three four three how many minus elevens are there two power two how many ones are there one two three 4 5 but here 1 to the power any number is 1 23 23 3 times 23 to the power of 3. expand and write as a product 7 to the power 3 7 3 times three to the power six three six times eight to the power four 8 4 times 9 to the power 5 9 5 times 10 to the power two ten two times minus five to the power four minus five four times minus 11 to the power 3 minus 11 three times write as a power of a 
,number so first one write 32 as a power of 2 so what you can do you can divide and see you can divide by 2 you get 16. you can divide this by 2 again 8 divide by 2 get 4 divide by 2 again 2 and divide by 2 again you get 1 till you get 1 you divide so how many twos are there one two three four five five twos are there so you can 
,write this one as two to the power of 5. so 32 as a power of 2 that's 2 to the power of 5. right 125 as a power of 5 then we divide by 5 and say 5 times 2 10 and for 25 that's 5. divide by 5 again you get 5. divide by 5 again you get 1. so 5 3 times you can write as 5 to the power of 3. look at this one right 121 as a power of 11. so take 121 and divide by 11 11 times 11 and 1. you get 11 twice so you can write this one as 11 squared write 81 as a power of 3 so divide by 3 3 times 2 6 and for 21 that's 27 divide by 3 again 9 divide by 3 again 3 divided by 3 again that's 1. so you can write 81 3 4 times that means 3 to the power of four write 36 as a power of six divide by six six times six thirty six six times one six twice that means you can write this is 6 squared write 343 as a power of 7 divide by 7 7 times 4 
,28 28 and you get 63 63 means nine seven times seven and seven times one seven three times that means 7 to the power of 3 and write 64 as a power of divided by eight eight times eight sixty-four eight times one eight into eight or you can write eight squared write 243 as a power of 3 divided by 3 3 times 8 24 and 1 3 times 27 3 
,times again 9 divide by 3 again 3 and divide by 3 again 1. so how many 3's are there 5 1 2 3 4 5 3 to the power of 5 right 64 as a power of 4 divide by 4 4 times 1 4 24 that's 6 4 times 4 16 and then again one four three times four times four times four four to the power of three right 625 as a power of five divided by 5 5 times 1 5 for 12 that's 2 for 25 that's 5. divide by 5 again 2 and 5. divide by 5 again 5 divided by 5 again that's 1. so you get only 5 4 times 5 into 5 into 5 into 5. so 5 to the power of 4. write 729 as a power of 9 divide by 9 9 times eight one nine times nine again divide by nine you get one so nine three times nine to the power of three write these in index notation how many twos are there three how many threes you get two here how many threes two how many fives one two three how many 3 is here 1 2 3 how many 7s 2 how many 11's that's two and how many thirteens that's two here how many twos two and how many fives that's three here again eighths and ninths eights twice and nines one two three how many fives are there three and how many elevens that's two how many fours one two three how many sevens one two three how many elevens here three how many thirteens one two three how many sixes here three and how many sevens 1 2 3 write the following numbers as a product of 2 3 5 so 
,you have to divide either by 2 3 or 5. so take 12 you can divide by 2 first that's 6. again you can divide by 2 that's 3. now you have to divide by 3 and you get 1. 
,so you can write 12 as 2 times 2 times 3 so 2 to the power of 2 and 1 3. 20 you can divide by 2 first you get 10. divide by 2 again you get 5. now you can divide by 
,5. you get 1 there 2 times 2 times 5 2 to the power of 2 and 5 54 divide by 2 2 times 2 4 for 14 that's 7. divide by 3 now get 9 divide by 3 again that's 3 divided by 3 again you get 1. so it's 1 2 and 3 3 times so you can write 2 into 3 to the power of 3 or 3 cube 50 you can divide by 2 25 now you can divide by 5 5 times 1. so 
,50 you can write 2 times 5 into 5 or you can simplify and write 5 squared now look at this one 18 divide by 2 9. now you can divide by 3 divide by 3 again you get 1. this is 2 times 3 times 3 or you can write 2 and 3 to the power of 2. 36 you can divide by 2 that's 18. divide by 2 again 9 divide by 3 again 3 3 and divide by 3 again that's 1. 2 twice and 3 twice so 2 to the power of 2 and 3 to the power of 2 both twice 242 divide by 2 you get 1 2 1 divide by what 11 11 times 11 121 divided by 11 you get 1 so 2 and 2 11 so 2 into 11 squared 75 you can divide by 3 3 times 2 6 and for 15 that's 5. divide by 5 again 5 divide by 5 again you get 1. so 3 times 5 times 5 you can write as 3 into 5 squared 24. how can we divide you can start with 2 12 again you can divide by 2 again by 2 and now you can divide by 3 2 into 2 
,into 2 into 3 2 3 times and 3 once 98 now divide by 2 49 then you get you can divide by 7 and again 7. 2 times 7 times 7 2 into 7 squared instead of 7 times 7 that's 7 squared find the value and use symbols greater less or equal signs so you are comparing two index notations 2 squared and 3 squared so what is 2 squared 2 into 2 
,that's 4. 3 squared 3 into 3 9. now which one is bigger 3 squared is bigger so you can write 2 squared is less than 3 squared 3 to the power 3 or 5 squared 3 to the 
,power 3 is 3 times 3 times 3 you get 27 5 squared 5 times 5 25 so you can write 3 to the power 3 is greater than 5 squared because 27 is more than 25 2 to the power 
,4 2 into 2 into 2 into 2 you get 2 times 2 4 4 times 2 8 8 times 2 16. 4 squared means 4 times 4 that's also 16. so what can you say about this one 2 to the power 4 
