Perimeter,XxPw1uieViU,hello grade 8 children today I'm here to teach you a geometry lesson with you that's chapter 2 perimeter so what is perimeter so we'll take figures like this what's 
,,this one a triangle circle a square so these are called closed plane figures when you take one place you can go round and come to the same position in this one also 
,,you can start from any place and come to the same position so we call these a plane closed figures or closed plane figures then what about these figures these are open plane figures so we are finding perimeter perimeter of closed plane figures so what is perimeter means the outer distance of a closed plane figure so when you start from here any place you can come to the same position here so you take the total distance so we'll see what are the properties in perimeter and we'll take several plane figures in this lesson so perimeter is the total length of the boundary of a closed rectilinear plane figure is called the perimeter of the figure units of perimeter what are the units so this is about a length so we use measurements as length so what are the measurements we use for length millimeter centimeter meter and 
,,kilometer so what's the relationship between these measurements so you know when you take the small ruler so one centimeter is equal to ten millimeters and when you 
,,take the meter ruler you can divide into hundred parts that means 100 centimeter is 1 meter then if you take kilometers that's thousand meters is equal to one kilometer now select the appropriate units according to the size of the figure so if you want to measure a smaller length you take some times millimeter centimeters a bigger length meters so when you take distance of a rod or something bigger ones we use kilometres so you need to know which one to choose now what's the shape a square 
,,square means all sides are equal and this is four-sided figure each angle is 90 degrees so if you want to find out the perimeter of this figure so we start from one 
,,place go round and come to the same posture so what's the perimeter of this square if the length of one side is L so it's easy we take letters for words like length 
,,we can take L letter perimeter we can take peel it so if one side is L so starting from here L plus L plus L plus L so these are like terms you can add L for times when you are adding you get full L so what's the perimeter of the square if you know one side is L for L so we can use this formula to find out the perimeter of a square we'll use that one in this question find the perimeter of a square with length 12 now we know L is 12 we need to find out P P stands for perimeter so we can use 
,,the formula for L that means 4 times L L is 12 4 times 12 you get 48 what's the unit that's centi meters look at the second question find the perimeter of a square plot of land where one side is 20 meters now L is 20 at least 20 P we need to find so you can use the formula for L 4 times 20 that's 80 what's the unit meter so we can put 80 meters this one find the perimeter of a square board with side lengths to 0.3 meters so L is 2.3 PE we need to find use the formula for L 4 times 2.3 how we multiply 4 times 3 12 one remaining and 4 times 2 8 + 1 9 that's in meters so nine point two meters the perimeter of a square shape land is 48 meters find the length of one side now the other way around giver so perimeter is given P is given 48 and you're asked to find out L so we can find length of one side that's L is the total perimeter is 48 how you find one side you have to divide by four because P equals four L if you want to find L you divide by four to get n so P divided by four 48 divided by 4 you get the length of one side four times 1/4 and here to 12 meters the perimeter of a square cardboard is 88.8 centimeters find the length of one side again how you find out length of one side I can write L equals P over 4 P is given 88.8 centimeters and you need to find out so P is 88.8 divided by 4 so you get twenty two point two centimeters for length off one side look at this one find the length of one side of a square where the perimeter is 64 point four same thing P is given 64 point four and you are asked to find out the lid so a length of one side is P 64 point four divided by four have you divide four times one for two remaining four twenty four that's four times six twenty four and four times 1/4 so you get this is in sin T meters now what's this shape this is called a rectangle so pair of opposite sides are equal so we called the longer length longer side we called along the side as left shorter man as brick so L stands for length and B stands for bread or sometimes we call wick so how we find out the perimeter of a rectangle now starting from this place L plus B plus L plus B L plus B plus L plus B you can add like terms too well plus 2b now we see that two is common so you can take it out and inside I can write L plus B so I can explain this one as if you separate these 
,,two lengths what you get yeah I want to find out the length of this part that's L plus V I get two parts like that so L plus B here and L plus B this side so twice of that twice of L plus B so you can use this formula to find out the perimeter of a rectangle look at this one find the perimeter of a rectangular plot of 18 meters 
